Trip,Sample Type,Hormone,Control N,Treated N,p-value,Effect Size,Effect Category,Conclusion,Causation
3,609,GA1,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,609,GA1,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,35,GA1,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
2,35,GA1,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,35,GA1,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,35,GA1,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,887,GA7,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
2,887,GA7,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,887,GA7,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
4,887,GA7,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,735,GA7,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,735,GA7,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,735,GA7,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
4,735,GA7,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,698,GA7,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,698,GA7,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,698,GA7,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
4,698,GA7,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,680,GA7,4,4,1.0,0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
2,680,GA7,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,680,GA7,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,680,GA7,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,402,GA7,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,402,GA7,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,402,GA7,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,402,GA7,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,171,GA7,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
2,171,GA7,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
3,171,GA7,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
4,171,GA7,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,703,GA7,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,703,GA7,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,703,GA7,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
4,703,GA7,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
1,609,GA7,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,609,GA7,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
3,609,GA7,3,4,0.0571,-1.0,Large,No Significant Difference,Possibly Random or Insufficient Data
4,609,GA7,3,4,0.6286,-0.3333,Large,No Significant Difference,Possibly Random or Insufficient Data
1,35,GA7,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,35,GA7,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
3,35,GA7,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
4,35,GA7,0,4,N/A,N/A,N/A,Too few samples,Manual Review Needed
1,887,GA3,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,887,GA3,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
3,887,GA3,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,887,GA3,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,735,GA3,4,4,0.0571,0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,GA3,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,735,GA3,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,735,GA3,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
1,698,GA3,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,698,GA3,4,4,0.0571,0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
3,698,GA3,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,698,GA3,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,680,GA3,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,680,GA3,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,680,GA3,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
4,680,GA3,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,402,GA3,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,GA3,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
3,402,GA3,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,402,GA3,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,171,GA3,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,171,GA3,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
3,171,GA3,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,171,GA3,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,703,GA3,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,703,GA3,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,703,GA3,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
4,703,GA3,4,4,0.0571,0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
1,609,GA3,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,609,GA3,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,609,GA3,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,609,GA3,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,35,GA3,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,35,GA3,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,35,GA3,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
4,35,GA3,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
1,887,GA5,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,887,GA5,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,887,GA5,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,887,GA5,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,735,GA5,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,GA5,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,735,GA5,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,735,GA5,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,698,GA5,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,698,GA5,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,698,GA5,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
4,698,GA5,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,680,GA5,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,680,GA5,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,680,GA5,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
4,680,GA5,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,402,GA5,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,GA5,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,402,GA5,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,402,GA5,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,171,GA5,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,171,GA5,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,171,GA5,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
4,171,GA5,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,703,GA5,4,4,0.0571,-0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
2,703,GA5,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
3,703,GA5,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,703,GA5,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,609,GA5,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,609,GA5,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,609,GA5,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,609,GA5,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
1,35,GA5,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
2,35,GA5,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,35,GA5,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,35,GA5,4,4,0.0571,0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
1,887,GA34,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,887,GA34,4,4,0.0421,-0.9375,Large,Significant Difference,Likely Not Random
3,887,GA34,4,4,0.0294,-1.0,Large,Significant Difference,Likely Not Random
4,887,GA34,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
1,735,GA34,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,GA34,4,4,0.1913,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,735,GA34,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,735,GA34,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
1,698,GA34,4,4,0.766,0.1875,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,698,GA34,4,4,0.2425,0.5625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,698,GA34,2,3,0.3329,-0.6667,Large,No Significant Difference,Possibly Random or Insufficient Data
4,698,GA34,2,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,680,GA34,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
2,680,GA34,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
3,680,GA34,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
4,680,GA34,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,402,GA34,4,4,0.0814,0.8125,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,GA34,4,3,0.1143,0.8333,Large,No Significant Difference,Possibly Random or Insufficient Data
3,402,GA34,4,3,0.5926,-0.3333,Large,No Significant Difference,Possibly Random or Insufficient Data
4,402,GA34,3,4,0.2845,-0.5833,Large,No Significant Difference,Possibly Random or Insufficient Data
1,171,GA34,4,4,1.0,-0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
2,171,GA34,4,4,0.5614,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,171,GA34,4,3,0.6286,0.3333,Large,No Significant Difference,Possibly Random or Insufficient Data
4,171,GA34,4,4,0.7715,0.1875,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,703,GA34,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,703,GA34,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,703,GA34,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,703,GA34,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,609,GA34,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,609,GA34,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,609,GA34,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,609,GA34,4,4,1.0,-0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
1,35,GA34,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,35,GA34,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,35,GA34,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
4,35,GA34,4,4,1.0,0.0625,Small,No Significant Difference,Possibly Random or Insufficient Data
1,887,GA8,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,887,GA8,4,4,0.5614,-0.3125,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,887,GA8,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,887,GA8,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,735,GA8,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,GA8,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,735,GA8,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,735,GA8,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,698,GA8,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,698,GA8,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,698,GA8,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
4,698,GA8,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,680,GA8,4,4,0.4678,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,680,GA8,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,680,GA8,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,680,GA8,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,402,GA8,4,4,0.2454,-0.5625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,GA8,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,402,GA8,4,4,0.6631,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,402,GA8,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
1,171,GA8,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,171,GA8,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,171,GA8,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,171,GA8,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
1,703,GA8,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,703,GA8,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,703,GA8,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
4,703,GA8,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
1,609,GA8,4,4,0.0286,-1.0,Large,Significant Difference,Likely Not Random
2,609,GA8,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,609,GA8,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
4,609,GA8,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
1,35,GA8,4,4,0.1143,0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,35,GA8,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,35,GA8,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,35,GA8,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
1,887,ABA,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,887,ABA,4,4,0.0286,1.0,Large,Significant Difference,Likely Not Random
3,887,ABA,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
4,887,ABA,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,735,ABA,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,ABA,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
3,735,ABA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,735,ABA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,698,ABA,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,698,ABA,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,698,ABA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,698,ABA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
1,680,ABA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,680,ABA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,680,ABA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,680,ABA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
1,402,ABA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,402,ABA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,402,ABA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
4,402,ABA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,171,ABA,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
2,171,ABA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,171,ABA,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
4,171,ABA,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,703,ABA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
2,703,ABA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
3,703,ABA,4,4,0.0571,0.875,Large,No Significant Difference,Possibly Random or Insufficient Data
4,703,ABA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
1,609,ABA,4,4,0.1143,-0.75,Large,No Significant Difference,Possibly Random or Insufficient Data
2,609,ABA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,609,ABA,4,4,0.8857,0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
4,609,ABA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,35,ABA,4,4,0.3429,0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,35,ABA,4,4,0.8857,-0.125,Small,No Significant Difference,Possibly Random or Insufficient Data
3,35,ABA,4,4,0.6857,0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,35,ABA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
1,887,JA,4,4,1.0,0.0,Small,No Significant Difference,Possibly Random or Insufficient Data
2,887,JA,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
3,887,JA,4,4,0.2,0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
4,887,JA,4,4,0.2,-0.625,Large,No Significant Difference,Possibly Random or Insufficient Data
1,735,JA,4,4,0.4857,0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
2,735,JA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
3,735,JA,4,4,0.6857,-0.25,Medium,No Significant Difference,Possibly Random or Insufficient Data
4,735,JA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
1,698,JA,4,4,0.3429,-0.5,Large,No Significant Difference,Possibly Random or Insufficient Data
2,698,JA,4,4,0.4857,-0.375,Large,No Significant Difference,Possibly Random or Insufficient Data
