Hormone,Sample Type,Significant Tests,Total Tests,Significance Ratio,Conclusion
GA34,609,0,4,0.0,No statistical evidence of hormone impact.
GA34,35,0,4,0.0,No statistical evidence of hormone impact.
GA8,887,0,4,0.0,No statistical evidence of hormone impact.
GA8,735,0,4,0.0,No statistical evidence of hormone impact.
GA8,698,0,4,0.0,No statistical evidence of hormone impact.
GA8,680,0,4,0.0,No statistical evidence of hormone impact.
GA8,402,0,4,0.0,No statistical evidence of hormone impact.
GA8,171,0,4,0.0,No statistical evidence of hormone impact.
GA8,703,1,4,0.25,"Some effect observed, but not consistent."
GA8,609,1,4,0.25,"Some effect observed, but not consistent."
GA8,35,1,4,0.25,"Some effect observed, but not consistent."
ABA,887,1,4,0.25,"Some effect observed, but not consistent."
ABA,735,0,4,0.0,No statistical evidence of hormone impact.
ABA,698,0,4,0.0,No statistical evidence of hormone impact.
ABA,680,0,4,0.0,No statistical evidence of hormone impact.
ABA,402,0,4,0.0,No statistical evidence of hormone impact.
ABA,171,0,4,0.0,No statistical evidence of hormone impact.
ABA,703,0,4,0.0,No statistical evidence of hormone impact.
ABA,609,0,4,0.0,No statistical evidence of hormone impact.
ABA,35,0,4,0.0,No statistical evidence of hormone impact.
JA,887,0,4,0.0,No statistical evidence of hormone impact.
JA,735,0,4,0.0,No statistical evidence of hormone impact.
JA,698,0,4,0.0,No statistical evidence of hormone impact.
JA,680,1,4,0.25,"Some effect observed, but not consistent."
JA,402,0,4,0.0,No statistical evidence of hormone impact.
JA,171,0,4,0.0,No statistical evidence of hormone impact.
JA,703,0,4,0.0,No statistical evidence of hormone impact.
JA,609,0,4,0.0,No statistical evidence of hormone impact.
JA,35,0,4,0.0,No statistical evidence of hormone impact.
IAA,887,0,4,0.0,No statistical evidence of hormone impact.
IAA,735,0,4,0.0,No statistical evidence of hormone impact.
IAA,698,0,4,0.0,No statistical evidence of hormone impact.
IAA,680,0,4,0.0,No statistical evidence of hormone impact.
IAA,402,0,4,0.0,No statistical evidence of hormone impact.
IAA,171,0,4,0.0,No statistical evidence of hormone impact.
IAA,703,0,4,0.0,No statistical evidence of hormone impact.
IAA,609,0,4,0.0,No statistical evidence of hormone impact.
IAA,35,0,4,0.0,No statistical evidence of hormone impact.
SA,887,1,4,0.25,"Some effect observed, but not consistent."
SA,735,0,4,0.0,No statistical evidence of hormone impact.
SA,698,0,4,0.0,No statistical evidence of hormone impact.
SA,680,0,4,0.0,No statistical evidence of hormone impact.
SA,402,0,4,0.0,No statistical evidence of hormone impact.
SA,171,1,4,0.25,"Some effect observed, but not consistent."
SA,703,0,4,0.0,No statistical evidence of hormone impact.
SA,609,0,4,0.0,No statistical evidence of hormone impact.
SA,35,0,4,0.0,No statistical evidence of hormone impact.
DHZ,887,0,4,0.0,No statistical evidence of hormone impact.
DHZ,735,0,4,0.0,No statistical evidence of hormone impact.
DHZ,698,0,4,0.0,No statistical evidence of hormone impact.
DHZ,680,0,4,0.0,No statistical evidence of hormone impact.
DHZ,402,0,4,0.0,No statistical evidence of hormone impact.
DHZ,171,0,4,0.0,No statistical evidence of hormone impact.
DHZ,703,0,4,0.0,No statistical evidence of hormone impact.
DHZ,609,0,4,0.0,No statistical evidence of hormone impact.
DHZ,35,0,4,0.0,No statistical evidence of hormone impact.
iP,887,0,4,0.0,No statistical evidence of hormone impact.
iP,735,0,4,0.0,No statistical evidence of hormone impact.
iP,698,0,4,0.0,No statistical evidence of hormone impact.
iP,680,0,4,0.0,No statistical evidence of hormone impact.
iP,402,0,4,0.0,No statistical evidence of hormone impact.
iP,171,0,4,0.0,No statistical evidence of hormone impact.
iP,703,0,4,0.0,No statistical evidence of hormone impact.
iP,609,0,4,0.0,No statistical evidence of hormone impact.
iP,35,0,4,0.0,No statistical evidence of hormone impact.
tZ,887,0,4,0.0,No statistical evidence of hormone impact.
tZ,735,0,4,0.0,No statistical evidence of hormone impact.
tZ,698,0,4,0.0,No statistical evidence of hormone impact.
tZ,680,0,4,0.0,No statistical evidence of hormone impact.
tZ,402,0,4,0.0,No statistical evidence of hormone impact.
tZ,171,0,4,0.0,No statistical evidence of hormone impact.
tZ,703,0,4,0.0,No statistical evidence of hormone impact.
tZ,609,0,4,0.0,No statistical evidence of hormone impact.
tZ,35,1,4,0.25,"Some effect observed, but not consistent."
Trip_Number,887,0,4,0.0,No statistical evidence of hormone impact.
Trip_Number,735,0,4,0.0,No statistical evidence of hormone impact.
Trip_Number,698,0,4,0.0,No statistical evidence of hormone impact.
Trip_Number,680,0,4,0.0,No statistical evidence of hormone impact.
Trip_Number,402,0,4,0.0,No statistical evidence of hormone impact.
Trip_Number,171,0,4,0.0,No statistical evidence of hormone impact.
Trip_Number,703,0,4,0.0,No statistical evidence of hormone impact.
Trip_Number,609,0,4,0.0,No statistical evidence of hormone impact.
Trip_Number,35,0,4,0.0,No statistical evidence of hormone impact.
Sample_Type,887,0,4,0.0,No statistical evidence of hormone impact.
Sample_Type,735,0,4,0.0,No statistical evidence of hormone impact.
Sample_Type,698,0,4,0.0,No statistical evidence of hormone impact.
Sample_Type,680,0,4,0.0,No statistical evidence of hormone impact.
Sample_Type,402,0,4,0.0,No statistical evidence of hormone impact.
Sample_Type,171,0,4,0.0,No statistical evidence of hormone impact.
Sample_Type,703,0,4,0.0,No statistical evidence of hormone impact.
Sample_Type,609,0,4,0.0,No statistical evidence of hormone impact.
Sample_Type,35,0,4,0.0,No statistical evidence of hormone impact.
