Descriptive Statistics Output
======================================================================

Descriptive Statistics for GA4:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         735            3        3.316          3.4900     3.73175        4.151       13.403         87.8230   165.37350      177.246
         735            4        0.399          1.3605     2.12500        3.001        3.584          8.4760    25.20300       70.167
         887            1        0.453          4.3830     8.27550        9.732        4.397          5.6130     5.95525        6.901
         887            2        0.266          0.4925     0.90850        1.828        2.817          3.8915     5.61725        8.504
         887            3        0.928          3.8280     5.41150        9.844        8.616         22.3300    31.27525       45.223
         887            4        1.125          2.8280     5.80675       10.684       22.695        110.0915   146.95275      169.245
======================================================================

Descriptive Statistics for GA1:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1        0.476          0.6010     0.70775        0.923        0.460          0.6975     0.83300        1.031
         171            2        0.408          0.4695     0.51125        0.551        0.366          0.4005     0.44950        0.574
         171            3        0.366          0.5045     0.56325        0.579        0.347          0.5575     0.69375        0.885
         171            4        0.391          0.7365     0.89175        1.170        0.810          1.0255     1.17275        1.310
         402            1        0.999          1.1915     1.28500        1.411        0.775          0.9810     1.18950        1.323
         402            2        0.674          0.7580     0.82225        0.847        0.637          0.6750     0.69100        0.712
         402            3        0.805          1.0020     1.11925        1.390        0.272          0.7410     1.29550        1.651
         402            4        0.615          0.9480     1.00200        1.020        0.488          0.9430     1.24725        1.422
         609            1        0.429          0.5480     0.61175        0.731        0.485          0.5445     0.59275        0.604
         609            2        0.515          0.8305     0.85775        0.887        0.512          0.6065     0.73925        0.893
         609            3        0.621          1.0615     1.39550        1.436        0.708          0.8665     0.97000        1.012
         609            4        0.926          1.2535     1.36400        1.394        1.020          1.3060     1.47525        1.698
         680            1        0.523          0.5745     0.59600        0.620        0.414          0.7350     0.74825        0.767
         680            2        0.488          0.5935     0.63250        0.697        0.303          0.4885     0.55575        0.606
         680            3        0.201          0.5000     0.66300        0.777        0.443          0.5575     0.75300        1.296
         680            4        0.385          0.5240     0.61425        0.822        0.707          0.8350     0.96925        1.153
         698            1        0.185          0.4940     0.52425        0.594        0.369          0.4670     2.20350        7.359
         698            2        0.354          0.4515     0.49575        0.549        0.243          0.4300     0.55175        0.569
         698            3        0.510          0.5805     0.65350        0.682        0.309          0.5790     0.59475        0.633
         698            4        0.733          0.8295     0.89075        0.905        0.719          0.9055     1.10300        1.601
         703            1        0.186          0.2850     0.37775        0.380        0.345          0.4555     0.51300        0.525
         703            2        0.252          0.3130     0.33050        0.338        0.204          0.3275     0.37550        0.389
         703            3        0.253          0.3535     0.43350        0.618        0.333          0.3440     0.35825        0.392
         703            4        0.461          0.5105     0.57275        0.719        0.508          0.6575     0.74450        0.986
         735            1        0.248          0.3005     0.36200        0.500        0.077          0.2230     0.29050        0.298
         735            2        0.380          0.5015     0.59575        0.637        0.171          0.3095     0.32100        0.339
         735            3        0.518          0.5580     0.58700        0.617        0.398          0.5825     0.61500        0.636
         735            4        0.650          0.7585     0.81150        0.849        0.397          0.7015     0.80700        1.074
         887            1        0.041          0.1215     0.17200        0.235        0.142          0.2315     0.27675        0.300
         887            2        0.113          0.1225     0.13100        0.131        0.181          0.1885     0.24350        0.386
         887            3        0.203          0.3315     0.48300        0.744        0.357          0.3915     0.44925        0.615
         887            4        0.266          0.5730     0.58875        0.627        0.714          0.7870     1.25750        2.462
======================================================================

Descriptive Statistics for GA7:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1         3.47           3.935      4.1500         4.27         0.55           3.015      3.1075         3.37
         171            2         1.50           1.780      1.9750         1.99         2.36           2.855      3.3250         4.00
         171            3         0.46           0.835      1.1325         1.77         2.81           6.005     14.0400        29.37
         171            4         0.61           1.300      1.8625         2.50         1.07           4.030      6.2300         7.82
         402            1         1.85           2.395      2.6725         3.49         1.74           3.095      3.3325         3.34
         402            2         1.34           2.015      2.6950         4.54         1.16           1.725      1.9850         2.36
         402            3         1.71           1.795      1.8950         2.09         1.57           7.515     47.5175       163.01
         402            4         1.00           2.300      3.0050         3.65         0.92           1.745      2.3550         3.12
         609            1         2.81           3.170      3.5675         4.49         2.85           4.840      6.8550         9.60
         609            2         0.81           1.815      2.1000         2.73         2.31           3.030      4.2800         5.96
         609            3         0.72             NaN         NaN         1.40         5.12           7.905     10.8100        19.21
         609            4         0.35             NaN         NaN         1.35         0.33           2.820      4.9825         5.89
         680            1         1.56           1.720      2.0825         3.08         0.77           2.015      2.4225         2.67
         680            2         1.09           1.985      2.5250         2.93         0.49           1.250      1.8575         3.17
         680            3         1.53           2.090      2.9775         5.61         0.86          14.380     28.4575        31.18
         680            4         0.83           1.075      1.4675         2.18         1.08           4.820      8.5625        10.55
         698            1         0.40           1.210      1.3125         1.41         1.27           1.345      1.5700         2.20
         698            2         1.15           1.500      1.9575         2.85         1.09           1.960      2.0450         2.27
         698            3         0.36           0.525      0.7550         1.31         1.84           5.515     62.8575       230.22
         698            4         1.53           3.235      3.4925         4.01         0.47          12.615     29.5775        57.65
         703            1         0.75           2.095      2.6500         3.04         1.71           1.930      2.4200         3.44
         703            2         1.47           2.920      3.2850         3.93         2.52           3.415      3.5600         3.83
         703            3         0.61           1.115      1.2850         1.66         0.65           4.145      5.7075         6.90
         703            4         0.25           0.405      0.6450         0.93         0.67           1.310      5.4525        17.85
         735            1         0.26           1.155      1.4675         1.49         0.34           0.685      0.9225         1.47
         735            2         0.73           0.840      0.8825         0.95         0.79           1.385      1.5600         1.71
         735            3         0.32           0.640      0.8025         0.87         3.23          46.425    104.9275       170.29
         735            4         1.66           2.100      2.1825         2.22         4.09           7.875     12.7575        23.07
         887            1         0.37           0.460      0.5175         0.57         1.80           2.580      3.6275         4.70
         887            2         0.57           0.835      0.9800         1.10         0.49           1.770      2.1275         2.69
         887            3         0.40           0.845      0.9375         1.11         9.94          31.005     41.1525        54.03
         887            4         1.16           3.650      4.0150         4.54        23.65          93.520    113.2225       165.70
======================================================================

Descriptive Statistics for GA3:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1       66.546         79.0015    80.29350       82.818       61.786         78.0825    81.40000       84.373
         171            2       72.245         74.2040    78.64775       86.516       61.558         74.2790    77.82275       86.543
         171            3       52.853         79.2135    83.64600       94.122       43.698         75.5065    82.43525       95.714
         171            4       37.580         44.3675    48.70500       50.676       39.545         44.5240    46.55750       50.000
         402            1       61.841         66.5270    73.93625       85.379       63.655         73.7260    78.21525       85.944
         402            2       45.702         51.4600    54.82300       62.008       61.614         66.9455    68.44300       68.590
         402            3       72.231         85.3355    90.82675       92.983       32.381         60.7465    80.38900       97.042
         402            4       34.797         45.8190    52.23150       53.667       25.505         42.0045    44.73425       48.071
         609            1       53.392         58.3145    59.78625       61.779       54.348         58.1215    63.27625       71.485
         609            2       62.540         69.7815    76.70325       94.305       58.121         72.3975    82.38925       88.798
         609            3       63.553         84.0835   103.74650      107.630       85.654         89.2710    96.71025      112.023
         609            4       12.054         14.1340    16.54975       18.835       11.819         14.5950    15.88200       16.050
         680            1      102.578        107.2580   113.48650      118.642       88.542        106.1285   111.93750      116.463
         680            2       81.472         92.4335    96.81825      109.764       52.420         78.0270    93.53400      134.568
         680            3       71.510        116.1055   156.28725      163.368      161.953        169.6330   180.43075      190.168
         680            4       77.882         94.7565   115.91000      133.976       46.566         83.9275    94.23475      110.116
         698            1       41.126         93.0225   105.66950      108.281       31.675         65.6410    83.72450       92.366
         698            2       61.728         73.8315    76.93925       77.765       47.991         55.9395    63.35150       69.527
         698            3       69.345         93.9500    96.31500      100.677       56.441         79.9920    93.31475       97.424
         698            4       47.570         57.5675    64.68375       68.751       53.113         59.7635    65.86650       67.323
         703            1        9.816         35.1110    39.51975       51.597       38.788         47.9775    49.64700       50.706
         703            2       35.213         42.3515    46.95350       58.583       43.961         54.2400    58.10275       63.526
         703            3       53.989         69.5580    81.62925       86.403       37.182         55.0975    61.35725       71.087
         703            4       18.953         22.1250    22.98375       23.700       12.170         14.5295    17.58400       20.800
         735            1       64.283         70.2345    74.81800       88.291       28.272         57.0195    61.96975       68.149
         735            2       46.771         51.6915    57.38625       70.341       45.698         51.9655    62.04100       74.899
         735            3       52.859         68.1990    81.32775       91.107       66.394         81.7025    82.55475       82.599
         735            4       58.658         86.1765    96.66375      104.265       38.659         47.3355    56.41250       58.565
         887            1       16.559         18.3675    23.86775       38.549       22.218         36.3985    38.37600       40.464
         887            2       11.971         16.7535    21.99300       27.846       21.598         29.7550    34.35575       42.950
         887            3       45.178         66.5590    82.22075       96.626       57.140         63.4295    71.10325       84.289
         887            4       31.829         71.5135    75.61425       81.384       85.024         99.1010   117.24850      132.031
======================================================================

Descriptive Statistics for GA5:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1        17.27          22.505     24.6675        25.71        17.23          21.105     23.0800        27.64
         171            2        13.05          16.535     19.8200        22.40        12.23          18.595     19.5325        21.94
         171            3        14.90          26.765     27.8325        29.58        14.48          17.795     21.0875        21.38
         171            4        17.92          22.335     22.4900        22.61        14.20          22.985     23.7900        24.21
         402            1        19.78          20.130     21.4050        24.45        13.90          15.190     19.8000        32.25
         402            2        16.39          23.140     25.5325        26.23        10.72          11.480     16.5000        30.03
         402            3        22.05          22.810     23.5475        25.22         6.90          19.400     22.4125        27.19
         402            4        23.38          35.315     38.4275        46.91        13.68          18.910     26.2950        36.54
         609            1         8.00          14.505     16.8475        21.13        12.68          15.050     18.0250        22.18
         609            2        16.10          17.755     18.2300        19.01        16.21          19.770     23.9575        28.33
         609            3        39.24          44.420     50.0225        51.35        28.71          41.065     45.7250        52.46
         609            4        24.88          29.460     32.5575        36.36        25.39          28.480     30.8425        31.90
         680            1        13.60          15.250     16.0800        17.34        11.33          12.670     13.8125        15.05
         680            2        10.95          13.020     13.5800        14.96         5.21          14.875     16.4225        19.34
         680            3        14.65          17.750     23.1475        30.40        21.99          28.195     30.4250        34.55
         680            4         7.61          24.510     31.8400        41.80        26.47          34.910     37.1150        40.31
         698            1         5.54           6.210      7.2075         8.58         2.15           5.210      6.2600         7.79
         698            2         4.75           6.175      8.5725        14.70         3.41           5.765      5.9550         6.18
         698            3         9.53          12.340     22.2925        51.01         4.82           9.305     10.5650        11.57
         698            4         9.25          10.785     11.3825        12.47         8.58          10.415     12.1875        17.31
         703            1         1.51           4.220      5.0550         5.94         5.14           6.275      7.0250         8.81
         703            2         4.11           4.260      4.4725         4.69         6.39           6.630      6.9375         7.26
         703            3         8.00          11.020     15.2150        18.77         6.16           8.835      9.4475         9.71
         703            4         4.86           7.120      7.9250         8.27         7.29           8.230      8.6850         9.03
         735            1         9.59          10.740     11.5550        11.93         2.94           8.980      9.9650        11.36
         735            2         7.48           8.580      9.2150         9.68         7.61          10.140     11.4625        14.86
         735            3         8.74          13.995     16.8025        16.96         8.09          13.375     15.0375        18.90
         735            4        17.30          23.945     32.8925        43.88        11.41          13.860     15.9450        18.93
         887            1         3.85           7.395     10.6375        15.07         5.91           8.490     11.2975        15.73
         887            2         3.88           6.650      7.0550         7.10         6.04           7.755      8.0650         8.11
         887            3         7.20          11.430     13.3675        18.97         7.74           9.955     11.1900        11.52
         887            4         8.93          18.030     20.4675        21.81        14.19          19.660     22.7200        29.47
======================================================================

Descriptive Statistics for GA34:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1         0.13           0.385      0.6775         1.03         0.24           0.365      0.4400         0.56
         171            2         0.08           0.140      0.1950         0.33         0.13           0.195      0.2375         0.26
         171            3         0.09           0.135      0.1500         0.18         0.02             NaN         NaN         0.71
         171            4         0.07           0.100      0.1325         0.17         0.05           0.085      0.1775         0.41
         402            1         0.24           0.390      0.4575         0.60         0.04           0.220      0.2425         0.25
         402            2         0.10           0.175      0.1875         0.21         0.04             NaN         NaN         0.13
         402            3         0.04           0.055      0.0725         0.08         0.03             NaN         NaN         0.70
         402            4         0.03             NaN         NaN         0.08         0.04           0.085      0.1025         0.14
         609            1         0.16           0.390      0.5525         0.71         0.05           0.185      0.2000         0.23
         609            2         0.40           0.725      0.9400         1.00         0.35           0.470      0.5100         0.54
         609            3         0.27           0.480      0.6550         0.97         0.37           0.790      0.9700         1.15
         609            4         0.13           0.210      0.2125         0.22         0.08           0.205      0.2500         0.34
         680            1         1.93           4.965      8.4100        11.47         1.53           3.935      4.6425         4.89
         680            2         1.64           2.230      2.7875         4.37         0.86           1.915      2.1150         2.37
         680            3         0.23           1.005      1.4125         2.08         1.32           3.315      4.8225         5.04
         680            4         0.14           0.820      1.2750         2.28         0.26           0.680      0.7575         0.87
         698            1         0.01           0.020      0.0250         0.04         0.00           0.015      0.0350         0.08
         698            2         0.06           0.075      0.1050         0.18         0.03           0.045      0.0675         0.09
         698            3          NaN             NaN         NaN          NaN         0.02             NaN         NaN         0.21
         698            4         0.06             NaN         NaN         0.07         0.04           0.085      0.1500         0.21
         703            1         0.04           0.485      0.6625         0.70         0.22           0.455      0.8075         1.19
         703            2         0.86           1.270      1.4475         1.47         0.65           0.855      1.0725         1.23
         703            3         0.55           0.660      0.9400         1.57         0.35           0.860      1.1475         1.23
         703            4         0.34           0.385      0.4550         0.65         0.33           0.475      0.7100         1.07
         735            1         0.15           0.415      0.6500         1.07         0.12           0.165      0.2050         0.22
         735            2         0.40           0.820      0.9200         1.22         0.16           0.470      0.5450         0.59
         735            3         0.43           0.530      0.6125         0.65         0.49           1.595      2.9725         3.97
         735            4         0.16           0.305      0.4125         0.45         0.37           0.665      1.3900         3.49
         887            1         0.04           0.085      0.1275         0.18         0.07           0.140      0.1625         0.20
         887            2         0.02           0.050      0.0725         0.11         0.11           0.230      0.2475         0.27
         887            3         0.02           0.125      0.1450         0.16         0.23           0.280      0.4150         0.67
         887            4         0.09           0.165      0.2150         0.23         1.13           3.295      4.0950         5.22
======================================================================

Descriptive Statistics for GA8:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1         3.82           5.000      5.4000         5.82         5.07           5.650      5.9150         6.38
         171            2         4.98           5.845      6.1525         6.25         4.61           5.635      6.2175         7.17
         171            3         4.81           5.440      6.6250         8.71         4.21           4.990      6.4200         8.67
         171            4         5.50           7.010      8.7350        11.45         5.69           6.630      7.0925         7.19
         402            1         3.91           4.200      4.5325         5.44         3.91           6.085      6.9175         7.75
         402            2         3.89           4.355      5.2800         7.77         4.14           4.930      5.1700         5.35
         402            3         6.27           6.860      8.8550        14.84         3.12           6.430      8.1375        10.17
         402            4         8.09          10.165     10.7925        11.43         9.08           9.500     10.6650        13.83
         609            1         2.79           3.265      3.3400         3.40         3.69           3.785      3.9250         4.18
         609            2         2.96           3.355      4.0825         5.38         4.24           4.875      5.5450         6.94
         609            3         5.18           6.415     10.7725        21.73         5.72           7.690      8.1325         8.77
         609            4         1.86           2.405      2.9425         4.51         1.64           2.385      2.6425         2.77
         680            1         2.00           2.095      2.4050         3.05         2.12           2.190      2.7425         4.28
         680            2         2.90           4.005      4.2175         4.24         1.67           3.985      4.5025         4.99
         680            3         2.79           4.400      6.0700         8.38         3.53           4.105      5.2300         7.87
         680            4         5.78           7.395      8.1625        10.00         6.14           7.455      8.6300         8.99
         698            1         1.29           1.360      1.5125         1.97         0.59           1.425      2.0200         3.49
         698            2         1.25           1.645      2.1950         3.26         1.52           1.760      2.0925         2.40
         698            3         2.78           4.950      6.1175         7.97         1.36           2.800      3.5825         3.89
         698            4         4.07           5.015      5.2275         5.25         4.55           4.850      5.2900         6.16
         703            1         0.41           0.650      0.7900         0.85         0.71           0.930      1.0650         1.44
         703            2         0.94           1.205      1.4125         1.42         0.80           1.070      1.2900         1.62
         703            3         1.53           1.865      2.3375         2.96         1.29           1.680      2.0325         3.03
         703            4         1.11           1.205      1.3125         1.47         0.72           0.840      0.9425         1.04
         735            1         1.51           1.755      1.7775         1.83         0.70           1.255      1.6300         1.72
         735            2         1.98           2.220      2.6525         3.53         1.77           2.740      3.4100         4.01
         735            3         3.01           4.665      5.0875         5.17         4.43           4.515      4.7300         5.18
         735            4         6.85           9.600     11.2850        11.39         5.42           8.645      9.5525         9.68
         887            1         0.17           0.275      0.4350         0.78         0.34           0.535      0.5725         0.64
         887            2         0.39           0.605      0.9050         1.52         0.56           0.775      0.8950         1.03
         887            3         0.74           1.215      1.5450         1.92         1.03           1.260      1.3675         1.66
         887            4         3.69           4.065      4.3025         4.82         3.71           5.475      6.3700         7.84
======================================================================

Descriptive Statistics for ABA:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1      1053.34        2403.145   2796.2825      2805.38      1033.26        1517.400   1631.2250      1824.53
         171            2      1367.15        1907.960   2449.4075      2675.00      1345.65        1496.095   1582.4425      1725.28
         171            3       528.06        1621.340   2474.1575      3325.73       378.68         683.955   1009.1650      1504.21
         171            4       430.95        1448.510   2062.6600      2732.56       482.77         639.440    805.0125      1104.75
         402            1      1309.11        1489.985   1502.0675      1519.61       933.60        1125.485   1386.0375      1897.14
         402            2      1025.73        1398.360   1718.7800      1995.29      1449.28        1567.220   1632.4325      1787.21
         402            3       639.19         716.890    792.9950       952.85       537.86        1341.635   1611.2100      2378.58
         402            4       279.27        1053.190   1225.8125      1242.38       522.42         968.325   1427.8750      2141.02
         609            1      1430.81        1829.695   2247.2625      2604.57      2356.51        3055.950   3564.4500      3641.13
         609            2      1078.79        1347.650   1680.7075      2582.83       923.96        1458.370   1625.1925      2014.72
         609            3      1101.62        1224.500   1398.7675      1617.13       834.76        1227.420   1364.0375      1555.13
         609            4       635.86         721.155    897.1150      1300.54       739.99         928.410   1020.7500      1219.44
         680            1      1492.98        1592.755   1874.7075      2694.00      1500.12        1585.370   1899.1525      2824.45
         680            2      1164.40        1625.770   2018.4650      2572.07      1308.55        1495.870   1839.9525      2405.64
         680            3       847.74        1484.865   1821.7725      1866.87       920.96        1045.760   1077.0450      1100.19
         680            4       510.50        1069.835   1916.8375      3235.87       601.72         813.590    866.8900       882.28
         698            1      1619.80        2067.715   2247.6200      2658.77      1020.37        1473.560   2057.0325      2866.77
         698            2      1193.44        1816.610   2160.2675      2239.40       955.05        1180.310   1430.4950      1680.32
         698            3      1028.51        1775.645   2298.3175      2617.39       546.71        1569.135   1748.2350      1890.27
         698            4       312.82        1114.505   1222.3375      1469.11       563.19        1382.730   1740.6100      2094.37
         703            1      1575.83        1740.080   2128.1625      2944.05      1669.18        1674.755   1831.6900      2287.27
         703            2      1826.87        2709.260   2960.6575      3301.99      1372.68        1887.440   2115.5375      2693.81
         703            3      1047.41        1175.015   1257.1825      1313.14       819.81         992.865   1056.9575      1098.77
         703            4       660.95         913.805   1087.3575      1341.93       685.64         803.310    922.2875      1236.14
         735            1      1103.10        1946.175   2136.4900      2194.18      1585.27        2657.530   2759.4250      2921.83
         735            2      1877.55        2387.640   2911.3375      3207.28      2113.54        3582.740   3810.9950      4106.51
         735            3      1205.52        2116.265   2352.1600      2535.16      1881.21        2079.085   2225.7875      2254.43
         735            4      1243.47        1370.320   1630.1775      2228.64      1020.08        1862.190   2279.1650      3251.03
         887            1      1027.04        1201.910   1381.8950      1887.26      1296.01        1466.760   1658.4000      2232.18
         887            2      2107.91        3071.655   3908.3125      4592.23      1255.68        1697.955   1763.5050      1897.50
         887            3      1123.31        1801.505   2032.1950      2585.53      1098.66        1274.710   1322.2350      1436.79
         887            4       589.15        1037.680   1435.0175      1906.43       624.25         687.900    791.1925      1046.92
======================================================================

Descriptive Statistics for JA:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1         2.32          13.765     29.3100        49.08         2.96          13.790     20.3850        38.73
         171            2        23.13          28.425     46.0275        86.43        18.00          39.150     59.5850        75.32
         171            3         4.13           6.145      7.9975         8.50         2.87           5.365      6.7800         6.99
         171            4         0.66           5.665     11.8425        19.23         8.19          15.745     17.6325        20.73
         402            1         6.61          17.895     25.6025        47.99        10.41          54.405     92.2475       104.45
         402            2        18.33          44.270     72.0550       116.41         5.74          41.915     73.3350        97.38
         402            3         7.41          13.660     15.7075        17.38         4.24           9.490     14.4800        24.32
         402            4        12.05          12.940     14.8125        18.03        13.91          19.555     26.8950        34.92
         609            1         7.64          13.420     14.8600        16.63         4.75          10.100     13.3275        21.27
         609            2        11.94          57.155     98.0075       154.85        39.01          70.950    102.0350       102.29
         609            3         5.19          15.205     19.5700        24.49        10.16          16.025     27.3650        57.71
         609            4         8.28          14.390     19.2425        21.80         6.69          39.020     48.7700        52.22
         680            1        19.20          24.755     49.6175       108.47        16.50          30.780     46.0775        53.81
         680            2         1.46          32.200     50.4700        57.25         4.30          20.685     36.0450        69.51
         680            3        10.79          18.875     25.7725        36.91         1.38           4.840      9.1725        15.78
         680            4         3.01           9.970     14.3450        14.48        20.42          27.930     30.8000        31.79
         698            1        13.62          22.270     36.1825        69.76        32.85          42.240     45.9775        53.29
         698            2        17.65          32.950     54.0075        99.99         6.36          93.780    127.8200       201.53
         698            3         2.20          11.850     17.0950        28.90         3.73           5.470     16.3000        45.25
         698            4         5.93          12.050     14.0350        19.78         9.61          18.385     19.8675        21.78
         703            1        14.79          43.440     45.8950        47.23         6.36          32.075     47.2625        79.34
         703            2        52.17         117.370    149.6200       238.57         7.56          52.715     80.2825        83.35
         703            3         3.86           8.380     14.9825        22.76         3.57          19.285     29.0025        38.49
         703            4        13.61          20.840     24.4900        27.31         9.28          13.125     15.2850        15.66
         735            1        10.54          52.930     83.8200       113.55        17.18          26.330     32.9725        41.65
         735            2        11.01          67.755     98.9800       106.00        43.25          71.155    105.6900       134.19
         735            3         4.91          27.055     27.9175        29.86        17.59          25.620     33.2300        41.78
         735            4        16.50          22.105     27.6150        38.94        20.79          27.400     35.0500        43.87
         887            1         2.98          24.335     48.5675        78.89        10.44          24.215     30.6625        37.72
         887            2        16.22          26.605     64.7625       150.60        51.70          96.645    149.0750       197.27
         887            3         7.43          15.095     18.9550        21.04         3.81           8.970      9.9275        10.76
         887            4        18.21          22.675     24.7000        28.63        21.23          38.045     40.1500        45.61
======================================================================

Descriptive Statistics for IAA:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
         171            1         6.20           9.840      9.9875        10.34         5.04           7.175      7.4500         7.54
         171            2         9.78          11.205     11.3050        11.35         7.76          10.245     12.0525        12.18
         171            3         9.64          11.505     13.0400        13.31         8.70           9.790     11.3400        13.50
         171            4         4.22           9.230     12.0450        15.39        11.11          20.325     31.2600        53.13
         402            1         8.76           9.435     10.4000        11.39         7.11          10.010     11.6975        12.23
         402            2         6.26           8.560     11.1000        12.54         7.39           8.740      9.5200        10.63
         402            3         8.08           8.460      9.3950        12.20         8.10          11.275     12.5875        13.03
         402            4         5.04           7.560      9.4900        10.93         5.13          12.430     17.3350        19.24
         609            1         4.82           5.590      6.6850         8.41         5.83           6.135      7.4000        10.94
         609            2         5.67           6.695      7.8050         8.57         5.74           8.135      9.2700         9.48
         609            3         5.16           7.985      8.4250         8.44         7.11           8.250      8.8825         9.55
         609            4         5.83           9.370     11.4325        13.09        10.12          14.660     17.3875        25.18
         680            1        10.38          12.685     13.5650        14.69         8.96          10.385     10.8650        11.96
         680            2         8.77          10.125     11.2825        13.24         6.96           8.565      9.9875        13.55
         680            3         6.18          11.385     14.7350        15.02         7.16          10.190     11.1575        11.90
         680            4         4.24          10.615     13.5475        14.83         4.40           4.950      5.7825         8.10
         698            1        11.30          11.685     12.4750        14.26         8.22           9.140     10.5350        12.62
         698            2         7.59           8.375      9.2650        10.87         7.90           8.685      9.0700         9.13
         698            3         7.23           9.495     10.9950        12.21         7.58           9.735     10.0750        10.66
         698            4         4.85           6.530      7.2625         7.30         6.72           7.375      8.2100         9.38
         703            1         9.56          12.825     15.1050        16.89         6.88          10.145     11.5625        12.35
         703            2         8.74          10.320     11.0275        12.58         5.94           9.905     11.1900        12.39
         703            3         5.94           8.185     10.1550        14.73         6.18           7.150      8.2000         9.94
         703            4         9.47          10.235     11.7250        15.79         7.11          11.485     14.2325        14.99
         735            1         6.09           9.925     11.2725        11.52         6.78          10.055     10.9575        12.18
         735            2         4.22           7.095      8.2375         8.98         6.96           9.180     10.8975        13.17
         735            3         7.92           9.380     10.2250        10.51         4.94           8.580      9.0000         9.66
         735            4         4.64           6.125      7.6000         8.02         3.13           3.880      5.0475         7.26
         887            1         7.83           9.140      9.3425         9.80         8.68          10.125     10.9550        11.36
         887            2         6.95           9.560      9.8925        10.50         6.93           7.650      8.7600        11.13
         887            3         8.99          10.375     11.4100        11.44         6.87          11.220     12.0450        13.59
         887            4         3.79           6.310      8.0225        10.40         3.86           5.255      5.5050         5.64
======================================================================

Descriptive Statistics for SA:
 Sample_Type  Trip_Number  Min_Control  Median_Control  Q3_Control  Max_Control  Min_Treated  Median_Treated  Q3_Treated  Max_Treated
